obs_id,observer,instrument,t_index,u,overlap,thickness_true,depth_blue,memo,f_white,f_blue,f_light,f_star,f_len,haze_obs,star_count,true_lambda,noise_sigma,overdispersed,event_flag,event_name
5,カムパネルラ,両面凸レンズ模型,62,0.3567348235750765,0.9890738003669028,0.9157047834667356,0.4789386656547014,けれどもだんだん気をつけて見ると、そのきれいな水は、ガラスよりも水素よりもすきとおって、ときどき眼（め）の加減か、ちらちら紫（むらさき）いろのこまかな波をたてたり、虹（にじ）のようにぎらっと光ったりしながら、声もなくどんどん流れて行き、野原にはあっちにもこっちにも、燐光（りんこう）の三角標が、うつくしく立っていたのです,0,0,2,0,160,1.1662944154977202,2,2.6185638941832114,0.1032462172930933,0,0,
31,カムパネルラ,両面凸レンズ模型,141,-0.9957575409197796,0.2061073738537637,0.565044502429163,0.3929436274396922,と思ったら、もう次から次から、たくさんのきいろな底をもったりんどうの花のコップが、湧（わ）くように、雨のように、眼の前を通り、三角標の列は、けむるように燃えるように、いよいよ光って立ったのです,0,0,1,0,96,0.6966088318969945,1,0.9633249144130176,0.2789386326545843,1,0,
34,ジョバンニ,両面凸レンズ模型,231,-0.9751886350268224,0.7938926261462369,0.5550676500139534,0.3905663185976052,川下の向う岸に青く茂（しげ）った大きな林が見え、その枝（えだ）には熟してまっ赤に光る円い実がいっぱい、その林のまん中に高い高い三角標が立って、森の中からはオーケストラベルやジロフォンにまじって何とも云えずきれいな音いろが、とけるように浸（し）みるように風につれて流れて来るのでした,0,1,1,0,140,0.7597315537485794,0,1.2838370101401784,0.1497209695039236,0,0,
45,先生,アルビレオ両面凸レンズ,55,-0.4866453255066743,0.9330127018922192,0.6582424138429827,0.4153826016491598,「天の川の水あかりに、十日もつるして置くかね、そうでなけぁ、砂に三四日うずめなけぁいけないんだ,0,0,0,0,47,0.7178086577065879,4,1.8572912936035624,0.1181219015177453,0,0,
52,先生,両面凸レンズ模型,18,-0.3421591969932076,0.3454915028125263,0.937958770612687,0.4844946658175681,ね、きれいでしょう、あんなに光っています,0,0,1,0,20,1.0111704278420934,0,1.898158635628168,0.2446120827485415,0,0,
54,カムパネルラ,アルビレオ両面凸レンズ,14,-0.835220412180427,0.5522642316338268,0.5509271482141389,0.3895812264446625,頭の上の槍（やり）のような白い毛もちゃんとついていました,1,0,0,0,28,1.1810337590048343,1,1.1987084540707276,0.2029186199827716,0,0,
55,先生,アルビレオ両面凸レンズ,66,0.3561058780745163,0.9045084971874736,0.8772632367960341,0.4693542709480363,レールを七つ組み合せると円くなってそれに電柱や信号標もついていて信号標のあかりは汽車が通るときだけ青くなるようになっていたんだ,0,1,0,0,63,1.1901645342259617,4,2.3416531493331574,0.1222339597808343,0,0,
85,先生,アルビレオ両面凸レンズ,57,-0.2510349585051059,0.9755282581475768,1.2018932018966768,0.5503025518112874,また窓の外で足をふんばってそらを見上げて鷺を捕る支度（したく）をしているのかと思って、急いでそっちを見ましたが、外はいちめんのうつくしい砂子と白いすすきの波ばかり、あの鳥捕りの広いせなかも尖（とが）った帽子も見えませんでした,1,0,0,0,112,1.2136014824611874,3,3.390292100753436,0.1033716811350816,1,0,
108,ジョバンニ,両面凸レンズ模型,223,-0.949548946262001,0.3960441545911202,0.5601126356448791,0.391767808400193,見えない天の川のずうっと川下に青や橙（だいだい）やもうあらゆる光でちりばめられた十字架（じゅうじか）がまるで一本の木という風に川の中から立ってかがやきその上には青じろい雲がまるい環（わ）になって後光のようにかかっているのでした,0,2,2,0,113,0.6634708049379829,0,1.0853282127649613,0.2371995736539458,1,0,
141,先生,両面凸レンズ模型,61,0.6624888990578199,0.9972609476841364,0.5634220020396166,0.3925566652276664,どんどん黒い松（まつ）の林の中を通ってそれからほの白い牧場の柵（さく）をまわってさっきの入口から暗い牛舎の前へまた来ました,1,0,0,0,61,0.7743061569506933,0,1.6431304856070248,0.1049003249003833,0,0,
